state,city,zipcode,address,latitude,longitude,zpid,bathrooms,bedrooms,sqft,homtype,taxAssessmentYear,taxAssessment,zestimate,rentzestimate,real rent
NC,Durham,27703,138 Rosedale Creek Dr,35.92694,-78.783944,122690568,3.0,3,2000,SingleFamily,2014,43600.0,331879,1854,"1,850"
NC,Durham,27703,114 Glenview Ln,35.962676,-78.830227,109949269,2.5,4,2563,SingleFamily,2014,236920.0,255300,1700,"1,700"
NC,Durham,27713,3403 Tarleton W,35.935627,-78.89602,70921420,2.5,3,1380,SingleFamily,2014,127319.0,129877,1135,"1,135"
NC,Durham,27712,3 Moss Creek Ct,36.122697,-78.867794,50027571,3.0,4,4525,SingleFamily,2014,469752.0,497428,2791,"3,000"
NC,Durham,27707,827 Elmira Ave,35.961934,-78.899141,49990259,1.0,3,840,SingleFamily,2014,70929.0,83943,995,995
NC,Durham,27713,8 Rockwall Garden Way,35.900373,-78.957229,70923143,2.0,3,1898,SingleFamily,2014,254820.0,270372,1600,"1,725"
NC,Durham,27713,203 Swift Creek Xing,35.880001,-78.944701,2113510886,3.0,4,3559,SingleFamily,2014,471217.0,594792,3342,"2,600"
NC,Durham,27707,112 Grapevine Trl,35.947898,-78.972129,61725664,2.0,2,1400,SingleFamily,2014,171530.0,183290,1300,"1,300"
NC,Durham,27704,1907 Spring Creek Dr,36.019262,-78.848907,61727209,2.5,3,1640,SingleFamily,2014,145802.0,166068,1300,"1,300"
NC,Durham,27703,4313 Armitage Dr,35.98998,-78.8062,2095762830,2.0,3,1650,SingleFamily,2014,141452.0,168923,1295,"1,295"
NC,Durham,27705,211 Mt Evans Dr,36.025471,-78.968844,109955844,2.0,2,1340,SingleFamily,2014,154615.0,197416,1350,"1,400"
NC,Durham,27704,108 Parsons Green Ct,36.061533,-78.913809,98185005,2.5,3,2100,SingleFamily,2014,170322.0,188055,1950,"2,750"
NC,Durham,27713,5004 Gable Ridge Dr,35.936941,-78.926472,49999433,2.0,3,1100,SingleFamily,2014,140965.0,172096,1350,"1,375"
NC,Durham,27704,2602 Tulip Poplar Cir,36.03713,-78.8099,2095683299,2.0,3,1704,SingleFamily,2014,179038.0,,1395,"1,395"
NC,Durham,27707,44 Grapevine Trl,35.948169,-78.970852,70923057,2.5,3,1500,Townhouse,2014,201614.0,193928,1550,"2,550"
NC,Durham,27703,1725 Tw Alexander Dr,35.922504,-78.840026,70921415,2.5,2,1551,Townhouse,2014,147174.0,157258,1295,"1,295"
NC,Durham,27713,5500 Fortunes Ridge Dr APT 96C,35.927358,-78.93094,50001446,2.0,3,1342,Townhouse,2014,128019.0,144750,1350,"1,450"
NC,Durham,27713,3372 Tarleton W,35.936893,-78.896262,70593235,1.5,2,1108,Townhouse,2014,108929.0,122160,1100,"1,100"
NC,Durham,27701,611 Hickory St,35.980795,-78.892,49980170,2.0,3,1135,SingleFamily,2014,12310.0,107611,1100,"1,075"
NC,Durham,27713,3031 Courtney Creek Blvd,35.943748,-78.888472,87751410,3.0,4,1942,SingleFamily,2014,177573.0,176178,1395,"1,395"
