city,zipcode,address,zpid,bathrooms,bedrooms,sqft,hometype,zestimate,rentzestimate,real rent
Durham,27704,2504 Shenandoah Ave APT B,2108319611,1.0,1,570,Townhouse,186920.0,895,895
Durham,27713,200 W Woodcroft Pkwy APT 54B,50000827,2.0,2,1000,Townhouse,128235.0,1215,1350
Durham,27704,700 E Ellerbee St,49981022,1.0,2,672,SingleFamily,82677.0,925,949
Durham,27707,5 Hartford Ct,49983644,2.0,2,1088,SingleFamily,112092.0,1050,990
Durham,27707,324 Ivy Meadow Ln,2106219685,2.5,2,1332,Townhouse,217352.0,1395,1405
Durham,27713,3431 Balfour E,50005271,2.0,2,1090,SingleFamily,117540.0,1100,1050
Durham,27703,513 N Maple St,49974533,1.0,2,1225,SingleFamily,83946.0,1095,1100
Durham,27704,2608 Shenandoah Ave,49972566,1.5,2,766,SingleFamily,121470.0,1250,1250
Durham,27707,102 Huse St,2100724988,1.0,2,886,SingleFamily,197875.0,850,775
Durham,27701,213 Northwood Cir,49969810,1.0,2,900,SingleFamily,99550.0,1425,1450
Durham,27713,115 Applecross Ct,49998377,2.5,2,1184,Townhouse,142260.0,1175,1150
Durham,27701,609 N Elizabeth St,49973916,1.0,2,600,SingleFamily,79240.0,850,625
Durham,27701,508 Gurley St,49973910,1.0,2,775,Townhouse,72625.0,900,1050
Durham,27701,607 N Roxboro St,49973731,2.0,2,1100,SingleFamily,116659.0,1100,1600
Durham,27705,2679 Hitchcock Dr,50015213,2.5,2,1216,SingleFamily,98461.0,995,900
Durham,27705,23 Pocono Dr,109965852,2.5,2,1195,SingleFamily,189949.0,1350,1350
Durham,27707,1009 Fairview St,49976946,1.0,2,856,SingleFamily,73701.0,900,900
Durham,27704,2615 Acadia St,49971043,1.0,2,740,SingleFamily,127743.0,1250,1195
Durham,27704,313 Gresham Ave,49972626,1.0,2,749,SingleFamily,128246.0,1300,1350
Durham,27707,112 Grapevine Trl,61725664,2.0,2,1400,SingleFamily,183510.0,1395,1400
Durham,27707,112 Grapevine Trl,61725664,2.0,2,1400,SingleFamily,183510.0,1395,1400
Durham,27705,211 Mt Evans Dr,109955844,2.0,2,1340,SingleFamily,197843.0,1395,1400
Durham,27703,1725 Tw Alexander Dr,70921415,2.5,2,1551,Townhouse,156532.0,1295,1295
Durham,27713,3372 Tarleton W,70593235,1.5,2,1108,Townhouse,122227.0,1100,1100
Durham,27705,1818 Guess Rd,49970625,1.0,2,863,SingleFamily,91517.0,900,875
Durham,27701,6 Kingston Mill Ct,49974778,1.0,2,800,SingleFamily,71698.0,850,800
Durham,27704,1812 E Geer St,50007280,1.0,2,1008,SingleFamily,96395.0,950,925
Durham,27705,1227 Berkeley St,49967073,1.0,2,806,SingleFamily,87292.0,1050,1195
Durham,27713,5500 Fortunes Ridge Dr APT 72D,50001335,2.0,2,1007,Condominium,130117.0,1100,2350
Durham,27705,103 Twisted Oak Pl,49993138,1.5,2,1200,Townhouse,139400.0,1100,1025
Durham,27701,19 Hayti Ln,49980199,1.5,2,970,SingleFamily,68491.0,900,1050
Durham,27713,2717 Wyntercrest Ln,80204336,2.5,2,1300,Townhouse,137895.0,1250,1950
Durham,27713,112 Montclair Cir,50004093,2.0,3,1689,SingleFamily,200079.0,1400,1300
Durham,27713,3608 Sana Ct,50005391,2.5,3,1348,SingleFamily,157547.0,1195,1295
Durham,27701,510 Everett Pl,2136644106,2.0,3,1713,Unknown,,1200,1695
Durham,27713,5 Beaufort Ct,109932621,3.0,3,3153,SingleFamily,394003.0,2300,2450
Durham,27704,405 Pineland Ave,50014127,2.0,3,1225,SingleFamily,99471.0,1125,1150
Durham,27713,1431 Crimson Creek Dr,61726622,2.5,3,1669,SingleFamily,212306.0,1500,1595
Durham,27705,1507 W Knox St,49966550,2.0,3,1288,SingleFamily,180835.0,1295,1095
Durham,27712,6480 Guess Rd,87618734,2.5,3,2480,SingleFamily,309822.0,1702,1695
Durham,27701,902 Price Ave,49978960,1.5,3,1092,SingleFamily,81981.0,1050,995
Durham,27704,4022 Sudbury Rd,50014402,2.0,3,1175,SingleFamily,120486.0,1100,1000
Durham,27703,5222 Dilbagh Dr,70922848,2.5,3,1586,Townhouse,179494.0,1350,1360
Durham,27713,5531 Mccormick Rd,50002949,1.5,3,1244,SingleFamily,165004.0,1300,1300
Durham,27707,1404 Valley Run,49981956,2.0,3,1140,SingleFamily,189923.0,1195,1025
Durham,27703,1807 Shiva Ct,61726778,2.5,3,1400,SingleFamily,182458.0,1350,1375
Durham,27713,138 Hollyhock Ct,50003303,2.0,3,1363,Townhouse,124110.0,1200,1200
Durham,27713,4504 Conklin Dr,80204227,2.5,3,1500,SingleFamily,219938.0,1395,1395
Durham,27703,207 Breedlove Ave,50006715,3.0,3,1868,SingleFamily,160002.0,1285,1250
Durham,27704,7 Toms Rock Pl,70924291,2.5,3,1608,SingleFamily,162232.0,1395,1450
Durham,27707,227 Ivy Meadow Ln,2106203258,3.5,3,1566,Townhouse,255855.0,1500,1659
Durham,27704,1023 Sweet Gale Dr,97867627,2.0,3,1420,SingleFamily,163575.0,1350,1350
Durham,27713,3 Richardson Cir,70924459,2.0,3,2004,SingleFamily,240148.0,1599,1599
Durham,27703,205 Briarhaven Dr,59713537,2.5,3,1500,SingleFamily,160126.0,1295,1295
Durham,27703,2977 Carolyn Dr,49989469,2.0,3,1450,SingleFamily,142024.0,1200,1095
Durham,27703,12 Kramer Pl,49989332,1.0,3,1000,SingleFamily,89052.0,935,825
Durham,27713,117 Ebon Rd,50000123,2.0,3,1320,SingleFamily,175350.0,1250,1195
Durham,27704,1304 Cozart St UNIT 420,89665889,2.5,3,1460,Townhouse,126915.0,1200,1200
Durham,27713,102 Perriwinkle Pl,50003325,2.0,3,1356,Townhouse,123547.0,1200,1200
Durham,27713,5 Ashwood Sq,49998545,2.0,3,1425,Townhouse,153906.0,1205,1100
Durham,27704,4708 Miller Dr,70923938,2.0,3,1514,SingleFamily,170986.0,1300,1325
Durham,27703,650 Ganyard Farm Way UNIT 25,89690378,3.5,3,1529,Townhouse,149603.0,1250,1250
Durham,27713,919 Carpenter Fletcher Rd,50004385,2.5,3,1818,SingleFamily,214294.0,1519,1550
Durham,27713,7 Woodhill Ct,49999389,2.5,3,1872,SingleFamily,250277.0,1600,1700
Durham,27703,716 Grandview Dr,50008628,2.0,3,1765,SingleFamily,161119.0,1350,1350
Durham,27705,4 Pinnacle Rd,49993079,3.0,3,1679,SingleFamily,177889.0,1350,1595
Durham,27712,4 Rosemeade Pl,80199432,2.0,3,2236,SingleFamily,292126.0,1695,1950
Durham,27704,803 Woodgreen Dr,70920986,2.5,3,1415,SingleFamily,157144.0,1300,1325
Durham,27705,4719 W Hills Dr,50016741,1.0,3,1395,SingleFamily,184078.0,1300,1330
Durham,27705,302 Powe St,49976023,3.0,3,1976,SingleFamily,162958.0,1350,1900
Durham,27705,16 Astor Ct,50015756,2.5,3,1404,Townhouse,109448.0,1150,900
Durham,27704,5201 Danube Ln,70922967,2.0,3,1540,SingleFamily,158147.0,1300,1285
Durham,27707,2405 Huron St,49969499,2.0,3,1250,SingleFamily,194970.0,1295,1225
Durham,27703,3118 Skybrook Ln,70922543,2.5,3,1688,SingleFamily,190449.0,1395,1395
Durham,27707,2239 Alpine Rd,49983536,2.0,3,1370,SingleFamily,125074.0,1150,1350
Durham,27713,106 Montclair Cir,50004092,2.0,3,1788,SingleFamily,210815.0,1495,1495
Durham,27707,4350 Jean Ave,89692782,2.5,3,1600,SingleFamily,224212.0,1500,1500
Durham,27703,907 Obsidian Way,80204072,3.0,3,1664,SingleFamily,166029.0,1295,1295
Durham,27704,4007 Lady Slipper Ln,98205286,2.5,3,1520,SingleFamily,161404.0,1300,1275
Durham,27712,1208 Champions Pointe Dr,50023916,2.0,3,2637,SingleFamily,279863.0,1675,1700
Durham,27705,2405 Albany St,49984509,1.0,3,888,SingleFamily,131254.0,1025,975
Durham,27707,1601 Anderson St,49968662,2.5,3,1416,SingleFamily,218502.0,1500,1550
Durham,27707,3212 Hope Valley Rd,49983414,2.0,3,1784,SingleFamily,230142.0,1500,1500
Durham,27705,6 York Ct,49985924,2.0,3,1400,SingleFamily,165925.0,1300,1300
Durham,27707,2819 Stuart Dr,49982175,2.0,3,1780,SingleFamily,278199.0,1550,1500
Durham,27707,800 Fargo St APT A3,49980319,1.5,3,1260,Townhouse,69172.0,1065,1000
Durham,27713,111 Basset Hall Dr,61726545,2.5,3,1632,SingleFamily,176146.0,1325,1325
Durham,27703,650 Ganyard Farm Way UNIT 4,2130037389,3.5,3,1629,Townhouse,180274.0,1250,1250
Durham,27713,8794 Nc Highway 751,121758370,2.0,3,1880,SingleFamily,559816.0,2987,2295
Durham,27704,2825 Tulip Poplar Cir,98207465,2.5,3,1520,SingleFamily,160149.0,1350,1395
Durham,27704,701 Woodgreen Dr,2095762818,7.0,3,1388,SingleFamily,,1350,1350
Durham,27704,915 Horton Rd,49986070,2.5,3,1525,SingleFamily,150630.0,1200,1200
Durham,27705,2718 Omah St,49984703,2.0,3,1581,SingleFamily,180179.0,1325,1325
Durham,27703,1808 Pennypacker Ln,87749038,3.0,3,2751,SingleFamily,304794.0,1875,1985
Durham,27704,1304 Cozart St UNIT 206,2109874688,2.5,3,1553,Townhouse,126607.0,1250,1250
Durham,27705,4221 Ellisfield Dr,50016539,2.5,3,1855,SingleFamily,260537.0,1650,1725
Durham,27707,4132 Hope Valley Rd,49991782,1.0,3,1385,SingleFamily,170366.0,1295,1300
Durham,27703,817 Pleasant Dr,80199571,2.0,3,1326,SingleFamily,119859.0,1150,1150
Durham,27703,138 Rosedale Creek Dr,122690568,3.0,3,2000,SingleFamily,331886.0,1854,1850
Durham,27703,1411 Palmer Hill Dr,124845983,3.0,3,2000,SingleFamily,250935.0,1495,1850
Durham,27713,3403 Tarleton W,70921420,2.5,3,1380,SingleFamily,129877.0,1200,1200
Durham,27713,3619 C View Rd,50005860,1.0,3,1488,SingleFamily,158753.0,1075,835
Durham,27707,827 Elmira Ave,49990259,1.0,3,840,SingleFamily,83561.0,950,995
Durham,27713,8 Rockwall Garden Way,70923143,2.0,3,1898,SingleFamily,270424.0,1650,1725
Durham,27705,4221 Ellisfield Dr,50016539,2.5,3,1855,SingleFamily,260537.0,1650,1725
Durham,27707,4132 Hope Valley Rd,49991782,1.0,3,1385,SingleFamily,170366.0,1295,1300
Durham,27703,817 Pleasant Dr,80199571,2.0,3,1326,SingleFamily,119859.0,1150,1150
Durham,27703,138 Rosedale Creek Dr,122690568,3.0,3,2000,SingleFamily,331886.0,1854,1850
Durham,27703,1411 Palmer Hill Dr,124845983,3.0,3,2000,SingleFamily,250935.0,1495,1850
Durham,27713,3403 Tarleton W,70921420,2.5,3,1380,SingleFamily,129877.0,1200,1200
Durham,27713,3619 C View Rd,50005860,1.0,3,1488,SingleFamily,158753.0,1075,835
Durham,27707,827 Elmira Ave,49990259,1.0,3,840,SingleFamily,83561.0,950,995
Durham,27713,8 Rockwall Garden Way,70923143,2.0,3,1898,SingleFamily,270424.0,1650,1725
Durham,27704,1907 Spring Creek Dr,61727209,2.5,3,1640,SingleFamily,166114.0,1300,1300
Durham,27703,4313 Armitage Dr,59713495,2.0,3,1650,SingleFamily,163059.0,1350,1350
Durham,27704,108 Parsons Green Ct,98185005,2.5,3,2100,SingleFamily,188435.0,2750,2750
Durham,27713,5004 Gable Ridge Dr,49999433,2.0,3,1100,SingleFamily,171434.0,1350,1375
Durham,27704,2602 Tulip Poplar Cir,87753563,2.5,3,1704,SingleFamily,175677.0,1395,1395
Durham,27707,44 Grapevine Trl,70923057,2.5,3,1500,Townhouse,194087.0,1550,2550
Durham,27713,1222 Orchard Oriole Ln,70923579,2.5,3,1584,SingleFamily,185858.0,1400,1475
Durham,27707,2807 Beechwood Dr,80201241,2.0,3,1734,SingleFamily,171818.0,1250,1250
Durham,27713,5500 Fortunes Ridge Dr APT 96C,50001446,2.0,3,1342,Townhouse,144620.0,1300,1450
Durham,27701,611 Hickory St,49980170,2.0,3,1135,SingleFamily,107200.0,1145,1075
Durham,27704,3600 Mountain Brook Cir,80198407,2.0,3,1856,SingleFamily,173899.0,1350,1350
Durham,27713,123 College Ave,50002031,2.0,3,1927,SingleFamily,269639.0,1600,1650
Durham,27704,4320 Chimney Stone Rd,70921667,2.5,3,1800,SingleFamily,168565.0,1350,1400
Durham,27713,113 Higher Learning Dr,59712542,2.5,3,1576,SingleFamily,187037.0,1350,1350
Durham,27705,10 Pilton Pl,49993227,2.5,3,1840,SingleFamily,281311.0,1800,2000
Durham,27701,1408 Shawnee St,49973419,2.5,3,1610,SingleFamily,146684.0,1250,1550
Durham,27705,929 Morreene Rd,61725461,3.0,3,24696,Condominium,526904.0,2946,1575
Durham,27713,5504 Grand Mesa Dr,59712116,2.5,3,1404,SingleFamily,213190.0,1405,2650
Durham,27712,17 Meadowbrook Dr,50017358,1.0,3,1035,SingleFamily,130319.0,995,995
Durham,27713,1420 Copper Creek Dr,61726605,2.5,3,1553,SingleFamily,209117.0,1450,1385
Durham,27705,1305 Sedgefield St,49966986,1.0,3,1051,SingleFamily,104930.0,1200,1200
Durham,27707,3319 Lassiter St,49983329,2.5,3,1447,SingleFamily,200376.0,1400,1400
Durham,27713,16 Chownings St,61726393,2.5,3,1732,SingleFamily,183537.0,1395,1395
Durham,27713,3604 Sana Ct,50005389,2.5,3,1632,SingleFamily,178745.0,1400,1450
Durham,27713,1003 Crimson Dr,70923539,2.5,3,1500,Townhouse,160614.0,1350,2350
Durham,27703,1019 Statler Dr,87757741,2.5,3,1463,SingleFamily,145149.0,1285,1295
Durham,27705,1413 Alabama Ave,49968847,2.5,3,1600,SingleFamily,242844.0,1650,2750
Durham,27707,42 Grapevine Trl,70923188,2.5,3,1400,Townhouse,188465.0,1450,2450
Durham,27704,110 Parsons Green Ct,98189248,2.5,3,2100,SingleFamily,188280.0,2750,2750
Durham,27703,1906 Pear Tree Ln,87750684,2.5,3,1814,SingleFamily,224073.0,1600,2750
Durham,27707,56 Grapevine Trl,70922828,2.5,3,1500,Townhouse,192044.0,1450,2550
Durham,27713,114 Strangford Ln,70924418,2.5,4,2492,SingleFamily,330413.0,1995,2100
Durham,27703,905 Reedy Way,80200051,2.5,4,2080,SingleFamily,186004.0,1400,1495
Durham,27703,223 Stoney Dr,59713623,2.0,4,2349,SingleFamily,230111.0,1450,1550
Durham,27703,4905 Tyne Dr,50011511,2.0,4,1318,SingleFamily,138973.0,1350,1350
Durham,27707,1215 Fargo St,49979713,2.0,4,1540,SingleFamily,101060.0,1100,1100
Durham,27704,3107 Cardinal Lake Dr,80200461,3.0,4,3100,SingleFamily,222305.0,1595,1595
Durham,27713,5 Lakehurst Ct,59712840,4.0,4,3046,SingleFamily,375807.0,2195,2500
Chapel Hill,27514,3705 High Meadow Rd,50050744,3.0,4,3385,SingleFamily,528854.0,2410,2300
Durham,27704,4515 Denfield St,70922911,2.0,4,1248,SingleFamily,127915.0,1150,1150
Durham,27707,113 Cricket Ground,49995272,2.5,4,2072,SingleFamily,285751.0,1725,1850
Durham,27713,6402 Winding Arch Dr,2101317596,2.5,4,2850,SingleFamily,325938.0,1740,1695
Durham,27713,116 Castlerock Dr,50005527,2.5,4,2600,SingleFamily,197258.0,1495,1495
Durham,27712,401 Loblolly Dr,50027790,2.0,4,3105,SingleFamily,319140.0,1723,1875
Durham,27703,902 Stennis Way,87750362,2.0,4,2070,SingleFamily,188546.0,1440,1440
Durham,27712,3211 Deerchase Wynd,50017816,2.5,4,2010,SingleFamily,246751.0,1650,1650
Durham,27707,401 Moline St,49978896,2.0,4,1296,SingleFamily,94023.0,1200,1400
Durham,27713,1444 Sedwick Rd,50018802,2.5,4,1700,SingleFamily,193347.0,1400,1450
